POI Id,Name,Favourite dish of your college,Largest value food order at your college,unofficial campus favorite restaurant,The official 12 AM craving / dish,Max number of orders in a week for a student in your college,Highest number of pizzas ordered on a single day,Highest number of biryanis ordered on a single day,Weblink,Masked Weblink
c0v89ojmud18qpl381s0,KIIT University,biryani,9668,Burger King,burger,20,101,237,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c0v89ojmud18qpl381s0,https://tinyurl.com/27r37zar
4d74d528-2b1f-43d9-8179-64c8c47d0937,IIT Bombay,biryani,17010,McDonald's,burger,24,120,252,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/4d74d528-2b1f-43d9-8179-64c8c47d0937,https://tinyurl.com/2clzuyb6
c0v85kbnrs5psrn7ivvg,Thapar Institute of Engineering & Technology,burger,7223,Burger King,burger,16,209,46,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c0v85kbnrs5psrn7ivvg,https://tinyurl.com/26o2t3x3
67edcee6-58db-4e6f-af3c-8501efbedf57,IIT BHU Varanasi,burger,16195,Capsicum Food Court - Since 2007,burger,19,165,137,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/67edcee6-58db-4e6f-af3c-8501efbedf57,https://tinyurl.com/23vpzsvr
7064cbe1-ec14-4e42-a8aa-cade8964586e,AIIMS New Delhi,biryani,22194,McDonald's,burger,35,53,70,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/7064cbe1-ec14-4e42-a8aa-cade8964586e,https://tinyurl.com/2apdjmdt
205b4553-167b-477f-aff3-e7b48c98d204,BITS Pilani Goa,pizza,10901,KFC,pizza,23,120,82,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/205b4553-167b-477f-aff3-e7b48c98d204,https://tinyurl.com/23jpfys8
02e361c0-86da-4044-8a62-3a75ad8b4ff4,IIT Kharagpur,biryani,9332,Amigos,pizza,21,85,207,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/02e361c0-86da-4044-8a62-3a75ad8b4ff4,https://tinyurl.com/2densuup
brjo6q3o07cs2k5c8qkg,IIM Ahmedabad New Campus,burger,14121,McDonald's,burger,27,39,45,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/brjo6q3o07cs2k5c8qkg,https://tinyurl.com/25scy2vk
4cf4dc98-b43e-4a70-ac36-caa0ac8a59fd,IIIT Delhi,burger,13673,Punjabi Angithi (Vegorama Group),burger,23,40,59,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/4cf4dc98-b43e-4a70-ac36-caa0ac8a59fd,https://tinyurl.com/2yvousc5
3cf71b17-0f37-4a52-bb75-7d3a317b42ed,University of Hyderabad,biryani,8479,Mehfil,biryani,22,40,155,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/3cf71b17-0f37-4a52-bb75-7d3a317b42ed,https://tinyurl.com/2ccy4k5d
807e8bd3-fdc6-472b-b3bb-8bee10e6d001,IIIT Hyderabad,biryani,11343,California Burrito,pizza,24,46,68,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/807e8bd3-fdc6-472b-b3bb-8bee10e6d001,https://tinyurl.com/2y82abnc
c0v86brnrs5psrn7j03g,Jawaharlal Institute of Postgraduate Medical Education and Research(JIPMER),biryani,9719,KBS Kofi Bar & Veg Restaurant,pizza,29,38,62,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c0v86brnrs5psrn7j03g,https://tinyurl.com/2xvl2lyn
c0cpqt89tt4h2ptrubug,Indian School of Business,biryani,12607,California Burrito,burger,28,53,50,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c0cpqt89tt4h2ptrubug,https://tinyurl.com/2d262z7j
c3b58521-fea6-4a74-92b9-cd52d3a56320,Post Graduate Institute of Medical Education & Research,pizza,13809,La Pino'z Pizza,roll,27,45,33,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c3b58521-fea6-4a74-92b9-cd52d3a56320,https://tinyurl.com/236cbwx3
cb4af7d1-772d-47c6-812f-f0a5a4be3cec,Vellore Institute of Technology (VIT),burger,8321,McDonald's,burger,31,46,72,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/cb4af7d1-772d-47c6-812f-f0a5a4be3cec,https://tinyurl.com/226cyf6p
c0e447g9tt4h2ptrvtm0,St John's Medical College & Hospital,biryani,16675,Truffles,burger,24,18,48,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c0e447g9tt4h2ptrvtm0,https://tinyurl.com/2dkkd4fe
c0v89bbnrs5psrn7j1d0,Christian Medical College(CMC Hospital),biryani,8879,Zufruita,burger,18,23,45,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c0v89bbnrs5psrn7j1d0,https://tinyurl.com/24j83xyw
c0df030mlbnfmjbvg9ng,Sharda University,burger,9728,Burger King,burger,15,57,45,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c0df030mlbnfmjbvg9ng,https://tinyurl.com/27s94dy5
b7296aff-2f3e-46b9-b3c4-695e3d235bbd,DYP Medical College,burger,38792,McDonald's,burger,22,30,40,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/b7296aff-2f3e-46b9-b3c4-695e3d235bbd,https://tinyurl.com/2dpp5bc8
c0cpkuo9tt4h2ptru660,IISER Pune,biryani,11125,Burger King,burger,18,33,50,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c0cpkuo9tt4h2ptru660,https://tinyurl.com/2xlpn2az
c0v85hjmud18qpl38020,Malaviya National Institute Of Technology(MNIT),biryani,12435,Bikkgane Biryani,pizza,22,69,108,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c0v85hjmud18qpl38020,https://tinyurl.com/29jnrd44
741a9d40-b985-464a-a2aa-eca36ef36fd0,Amrita Institute of Medical Sciences and Research Centre(AIMS),biryani,14600,Paragon Restaurant,shawarma,36,19,82,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/741a9d40-b985-464a-a2aa-eca36ef36fd0,https://tinyurl.com/25qhtw4z
c0v8chbnrs5psrn7j360,Medical College Trivandrum,biryani,8951,Hotel Aryaas,burger,27,22,54,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c0v8chbnrs5psrn7j360,https://tinyurl.com/26bbx98m
103a685f-28e8-434f-a83b-16f51a15e53d,New Civil Hospital & Government Medical College,burger,15318,McDonald's,burger,28,37,27,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/103a685f-28e8-434f-a83b-16f51a15e53d,https://tinyurl.com/2dkdane6
c0e43e8mlbnfmjbvh7e0,Sri Ramachandra Institute Of Higher Education And Research,biryani,14062,Shree Mithai,burger,25,22,76,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c0e43e8mlbnfmjbvh7e0,https://tinyurl.com/2ctd327y
aa39144a-945d-40df-bdb3-46e06ee4368e,Visvesvaraya National Institute of Technology (VNIT),biryani,8303,Hyderabad Biryani.com,burger,20,42,84,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/aa39144a-945d-40df-bdb3-46e06ee4368e,https://tinyurl.com/22yx6r8n
7819263d-7e2c-4a71-8281-e181490f963f,IIT Madras,biryani,9114,A2B - Adyar Ananda Bhavan,burger,17,31,45,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/7819263d-7e2c-4a71-8281-e181490f963f,https://tinyurl.com/296lberb
c0cpq9g9tt4h2ptrubcg,Atal Bihari Vajpayee Institute of Medical Sciences & Dr RML Hospital(PGIMER),biryani,12030,McDonald's,burger,33,24,36,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c0cpq9g9tt4h2ptrubcg,https://tinyurl.com/26jyljkd
dc0044d7-cd06-41cd-aa8c-7cc685b9ac13,Management Development Institute(MDI),roll,15874,McDonald's,burger,18,24,23,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/dc0044d7-cd06-41cd-aa8c-7cc685b9ac13,https://tinyurl.com/2yl4qax5
9c9cbb01-410d-4ace-b4ee-d5fbe79abc24,King George's Medical University(KGMU),biryani,17660,Burger King,burger,20,34,54,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/9c9cbb01-410d-4ace-b4ee-d5fbe79abc24,https://tinyurl.com/28d27n59
